name,link,edition,author,release,ratings,rating_counts,price,genres
"Price Action Trading : Share Market Books in Marathi Indian Stock Option Technical Analysis & Investing, Learning Guide Zone Bazar Book : द शेअर मार्केट, Sharemarket on Intraday with trends charts इंट्राडे ट्रेडिंग, मराठी पुस्तक, प्राइस एक्शन बुक, बाजार इन झोन Bazaar, Bajar",/Price-Action-Trading-Technical-Sharemarket/dp/9352203712,Marathi Edition , by Indrazith Shantharaj and Poonam Chhatre , 1 January 2023,,,200,
"MTG NEET Biology Power Revision Book By Dr Vani Sud- NCERT Based Questions, Mock Test Papers With OMR Sheet & 6000+ Chapterwise Questions For NEET 2023 Exam",/Biology-Revision-Questions-Papers-Chapterwise/dp/9355556500,,by Dr Vani , 27 December 2022,,,695,
The Simplest Book For Technical Analysis | Hindi Edition | Stock Market | Mukul Agrawal,/Simplest-Technical-Analysis-Market-Agrawal/dp/9394200533,Hindi Edition , by Mukul Agrawal  , 18 November 2022,3.1,7  ,299,in Money & Monetary Policy
Examcart KVS PRT Complete Study Guidebook in Hindi Medium For 2023 Exams (Prateek Shivalik),/Examcart-Study-Guide-Exams-Hindi/dp/9357031324,Hindi Edition , by Examcart Experts  , 27 December 2022,,,599,
Examcart KVS PRT Pedagogy English Medium Textbook - Perspective on Education & Leadership for 2023 Exam (Prateek Shivalik),/Examcart-Perspective-Education-Leadership-English/dp/9357031332,,by Examcart Experts  and Prateek Shivalik , 20 December 2022,5.0,20  ,249,
SMART STUDY's Talathi Bharti 186 Prashnapatrika Sanch : 2010-2021 - 17600+ Prashna - 2023/Edn.,/SMART-STUDYs-Talathi-Bharti-Prashnapatrika/dp/B0BQDXXZRJ,Marathi Edition , by Vitthal Rautwar , 16 December 2022,5.0,1  ,580,
"Self Love: Woman's book for a happy life (happiness, mindfulness, wellness, self-confidence)",/Self-Love-happiness-mindfulness-self-confidence-ebook/dp/B08BY2SBYS,,by Vivia Masko , 26 June 2020,4.1,39  ,0,
Citizenville: How to Take the Town Square Digital and Reinvent Government (Marathi),/Citizenville-Digital-Reinvent-Government-Marathi/dp/B0BPP2Y6FD,Marathi Edition ," by Gavin Newsom, Lisa Dickey, et al. ", 9 December 2022,4.8,7  ,350,
"Raa Traders Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 2 Pen +2 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437,,,,4.0,197  ,299,
Examcart KVS PRT Textbook Maths & EVS Environmental Science for 2023 Exam (Prateek Shivalik | English Medium),/Examcart-Environmental-Science-Mathematics-TextBook/dp/9357031391,,by Examcart Experts  and Prateek Shivalik , 20 December 2022,5.0,19  ,139,
The Rudest Book Ever,/Rudest-Book-Ever-Shwetabh-Gagwar-ebook/dp/B0BJ98D643,,by Shwetabh Gagwar , 2 November 2022,4.4,"7,668  ",399,
Rajesh Meshe - Talathi Master Thokla: Trickscha Mahapur - 2023 Ed.,/Rajesh-Meshe-Talathi-Trickscha-Mahapur/dp/B0BPYG6QR8,Marathi Edition , by Rajesh Meshe and Swati Rasal , 12 December 2022,3.8,4  ,595,
BlackBook of General Awareness January 2023 by Nikhil Gupta,/BlackBook-General-Awareness-January-Nikhil/dp/8195645704,,by Nikhil kr Gupta , 26 December 2022,5.0,3  ,520,in Exam Preparation
