name,link,paperlink
Kavadi Sindhu: காவடி சிந்து (Tamil Edition),https://www.amazon.in/Kavadi-Sindhu-%E0%AE%95%E0%AE%BE%E0%AE%B5%E0%AE%9F%E0%AE%BF-%E0%AE%9A%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%81-Tamil-ebook/dp/B0BNJ1GC4R/ref=zg_bs_1318161031_sccl_5/000-0000000-0000000?psc=1,
The Murder of Roger Ackroyd (Poirot),https://www.amazon.in/Murder-Roger-Ackroyd-Poirot/dp/0007527527/ref=zg_bs_1318161031_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Murder-Roger-Ackroyd-Poirot/dp/0007527527/ref=zg_bs_1318161031_sccl_6/000-0000000-0000000?psc=1
"The Maid: The Sunday Times and No.1 New York Times bestseller, and Winner of the Goodreads Choice Awards for best mystery thr",https://www.amazon.in/Maid-hotly-anticipated-debut-2022-ebook/dp/B08R8SH69Y/ref=zg_bs_1318161031_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/MAID-Dont-sees-Bookmark-included/dp/B0BGJM738G/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Verity: The thriller that will capture your heart and blow your mind,https://www.amazon.in/Verity-thriller-that-capture-heart-ebook/dp/B09MYJ83JV/ref=zg_bs_1318161031_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Verity/dp/B0BMB1JDQC/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
"The Da Vinci Code: (Robert Langdon Book 2) (Robert Langdon, 2)",https://www.amazon.in/Vinci-Code-Robert-Langdon/dp/0552161276/ref=zg_bs_1318161031_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Vinci-Code-Robert-Langdon/dp/0552161276/ref=zg_bs_1318161031_sccl_9/000-0000000-0000000?psc=1
Souffle,https://www.amazon.in/Souffle-Anand-Ranganathan/dp/0143459406/ref=zg_bs_1318161031_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Souffle-Anand-Ranganathan/dp/0143459406/ref=zg_bs_1318161031_sccl_10/000-0000000-0000000?psc=1
Painted Scars: An Opposites Attract Mafia Romance (Perfectly Imperfect Book 1),https://www.amazon.in/Painted-Scars-Opposites-Perfectly-Imperfect-ebook/dp/B09YP5NBVB/ref=zg_bs_1318161031_sccl_11/000-0000000-0000000?psc=1,
The Khandavaprastha Conspiracy - Book 3 of the Mahabharata Quest Series,https://www.amazon.in/Khandavaprastha-Conspiracy-Book-Mahabharata-Quest/dp/9395767154/ref=zg_bs_1318161031_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Khandavaprastha-Conspiracy-Book-Mahabharata-Quest/dp/9395767154/ref=zg_bs_1318161031_sccl_12/000-0000000-0000000?psc=1
Manjhi's Mayhem,https://www.amazon.in/Manjhis-Mayhem-Tanuj-Solanki/dp/0143458442/ref=zg_bs_1318161031_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Manjhis-Mayhem-Tanuj-Solanki/dp/0143458442/ref=zg_bs_1318161031_sccl_13/000-0000000-0000000?psc=1
Rock Paper Scissors: The phenomenal new thriller and instant New York Times bestseller from the author of Sometimes I Lie,https://www.amazon.in/Rock-Paper-Scissors-Alice-Feeney/dp/0008370982/ref=zg_bs_1318161031_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Rock-Paper-Scissors-Alice-Feeney/dp/0008370982/ref=zg_bs_1318161031_sccl_14/000-0000000-0000000?psc=1
Game Of Death (Virat Rana Book 4) (Hindi Edition),https://www.amazon.in/Game-Death-Virat-Rana-Hindi-ebook/dp/B0BQ5GNKN5/ref=zg_bs_1318161031_sccl_15/000-0000000-0000000?psc=1,
THE DEVOTION OF SUSPECT X,https://www.amazon.in/Devotion-Suspect-X-Keigo-Higashino/dp/0349138737/ref=zg_bs_1318161031_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Devotion-Suspect-X-Keigo-Higashino/dp/0349138737/ref=zg_bs_1318161031_sccl_16/000-0000000-0000000?psc=1
"The Oath of the Vayuputras (English): Shiva Trilogy, Book 3",https://www.amazon.in/Oath-Vayuputras-English-Shiva-Trilogy/dp/B0BQL6PFXX/ref=zg_bs_1318161031_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Oath-Vayuputras-English-Shiva-Trilogy/dp/B0BQL6PFXX/ref=zg_bs_1318161031_sccl_17/000-0000000-0000000?psc=1
The Magicians of Mazda Paperback – 21 May 2022,https://www.amazon.in/Magicians-Mazda-Bharat-7/dp/9354899080/ref=zg_bs_1318161031_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Magicians-Mazda-Bharat-7/dp/9354899080/ref=zg_bs_1318161031_sccl_18/000-0000000-0000000?psc=1
A Death in Tokyo (The Detective Kaga Series Book 3),https://www.amazon.in/Death-Tokyo-Detective-Kaga-Book-ebook/dp/B0BCVM2MYK/ref=zg_bs_1318161031_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Death-Tokyo-Detective-Kaga/dp/0349145377/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),https://www.amazon.in/Brutal-Prince-Enemies-Romance-Birthright-ebook/dp/B08BNLPH6D/ref=zg_bs_1318161031_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Brutal-Prince-Illustrated-Birthright/dp/1958931004/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,https://www.amazon.in/Housemaid-absolutely-addictive-psychological-jaw-dropping-ebook/dp/B09TWSRMCB/ref=zg_bs_1318161031_sccl_21/000-0000000-0000000?psc=1,https://www.amazon.in/Housemaid-Freida-McFadden/dp/1538742578/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Throne of Power: An Arranged Marriage Mafia Romance (Throne Duet Book 1),https://www.amazon.in/Throne-Power-Arranged-Marriage-Romance-ebook/dp/B08MXNCLS6/ref=zg_bs_1318161031_sccl_22/000-0000000-0000000?psc=1,https://www.amazon.in/Throne-Power-Arranged-Marriage-Romance/dp/1685450342/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
Bihar Diaries: The True Story of How Bihar's Most Dangerous Criminal Was Caught,https://www.amazon.in/Bihar-Diaries-Bihars-Dangerous-Criminal/dp/0143444352/ref=zg_bs_1318161031_sccl_23/000-0000000-0000000?psc=1,https://www.amazon.in/Bihar-Diaries-Bihars-Dangerous-Criminal/dp/0143444352/ref=zg_bs_1318161031_sccl_23/000-0000000-0000000?psc=1
