name,link,genres,image,rank,author,author_link,ratings,counts,reviews
Sapiens Manav Jati ka Sankshipt Itihas,https://www.amazon.in/Sapiens-Manav-Jati-Sankshipt-Itihas/dp/9388241177/ref=zg_bs_4149493031_sccl_3/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71+RCllcHLL._AC_UL300_SR300,200_.jpg",83,Yuval Noah Harari,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_4149493031_bl_sccl_3/000-0000000-0000000,4.5 out of 5 stars,"1,717",https://www.amazon.in/product-reviews/9388241177/ref=zg_bs_4149493031_cr_sccl_3/000-0000000-0000000
Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,https://www.amazon.in/Elon-Musk-Billionaire-SpaceX-Shaping/dp/0753555646/ref=zg_bs_4149493031_sccl_4/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81KAg5fnOhL._AC_UL300_SR300,200_.jpg",84,Ashlee Vance,https://www.amazon.in/Ashlee-Vance/e/B003YLHAJG/ref=zg_bs_4149493031_bl_sccl_4/000-0000000-0000000,4.5 out of 5 stars,"9,747",https://www.amazon.in/product-reviews/0753555646/ref=zg_bs_4149493031_cr_sccl_4/000-0000000-0000000
The Autobiography of Benjamin Franklin,https://www.amazon.in/Autobiography-Benjamin-Franklin/dp/8175993286/ref=zg_bs_4149493031_sccl_5/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81sK3klVXbS._AC_UL300_SR300,200_.jpg",85,Benjamin Franklin,https://www.amazon.in/Benjamin-Franklin/e/B00Y83DXHM/ref=zg_bs_4149493031_bl_sccl_5/000-0000000-0000000,4.4 out of 5 stars,"5,016",https://www.amazon.in/product-reviews/8175993286/ref=zg_bs_4149493031_cr_sccl_5/000-0000000-0000000
The Book of Life by J. Krishnamurti: Book on Spirituality for Life Inspiration by Krishnamurti| Healing Book discussing the p,https://www.amazon.in/Book-Life-J-Krishnamurti/dp/0141004967/ref=zg_bs_4149493031_sccl_6/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/51MB4Tc-cFL._AC_UL300_SR300,200_.jpg",86,J. Krishnamurti,https://www.amazon.in/J-Krishnamurti/e/B000APJOGG/ref=zg_bs_4149493031_bl_sccl_6/000-0000000-0000000,4.6 out of 5 stars,"1,003",https://www.amazon.in/product-reviews/0141004967/ref=zg_bs_4149493031_cr_sccl_6/000-0000000-0000000
One Up On Wall Street: How To Use What You Already Know To Make Money In,https://www.amazon.in/One-Up-Wall-Street-Already-ebook/dp/B006YDFYW6/ref=zg_bs_4149493031_sccl_7/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81EqMozRaPL._AC_UL300_SR300,200_.jpg",87,Peter Lynch,https://www.amazon.in/Peter-Lynch/e/B000AQ3INK/ref=zg_bs_4149493031_bl_sccl_7/000-0000000-0000000,4.5 out of 5 stars,"7,661",https://www.amazon.in/product-reviews/B006YDFYW6/ref=zg_bs_4149493031_cr_sccl_7/000-0000000-0000000
Build (Lead Title): An Unorthodox Guide to Making Things Worth Making - The New York Times bestseller,https://www.amazon.in/Build-Lead-Title-Unorthodox-Making/dp/1787634116/ref=zg_bs_4149493031_sccl_8/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71nlpZVDrDL._AC_UL300_SR300,200_.jpg",88,Tony Fadell,https://www.amazon.in/Tony-Fadell/e/B09KBYQN5Z/ref=zg_bs_4149493031_bl_sccl_8/000-0000000-0000000,4.7 out of 5 stars,"1,478",https://www.amazon.in/product-reviews/1787634116/ref=zg_bs_4149493031_cr_sccl_8/000-0000000-0000000
Autobiography of a Yogi,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B079P54C5J/ref=zg_bs_4149493031_sccl_9/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/81BCOPEPiML._AC_UL300_SR300,200_.jpg",89,Paramahansa Yogananda,,4.6 out of 5 stars,"8,748",https://www.amazon.in/product-reviews/B079P54C5J/ref=zg_bs_4149493031_cr_sccl_9/000-0000000-0000000
"Wanderers, Kings, Merchants: The Story of India through Its Languages",https://www.amazon.in/Wanderers-Kings-Merchants-through-Languages/dp/0670093688/ref=zg_bs_4149493031_sccl_10/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/61bAwH9ZleS._AC_UL300_SR300,200_.jpg",90,Peggy Mohan,https://www.amazon.in/Peggy-Mohan/e/B003VFYTZS/ref=zg_bs_4149493031_bl_sccl_10/000-0000000-0000000,4.6 out of 5 stars,361,https://www.amazon.in/product-reviews/0670093688/ref=zg_bs_4149493031_cr_sccl_10/000-0000000-0000000
The Art of War - Deluxe Edition,https://www.amazon.in/Art-War-Deluxe-Sun-Tzu/dp/9388369696/ref=zg_bs_4149493031_sccl_11/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71e-ttmgoUS._AC_UL300_SR300,200_.jpg",91,Sun Tzu,,4.4 out of 5 stars,"3,193",https://www.amazon.in/product-reviews/9388369696/ref=zg_bs_4149493031_cr_sccl_11/000-0000000-0000000
The Happiest Man on Earth,https://www.amazon.in/Happiest-Man-Earth-Beautiful-Auschwitz/dp/1529066360/ref=zg_bs_4149493031_sccl_12/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/819yNwOnMUL._AC_UL300_SR300,200_.jpg",92,Eddie Jaku,https://www.amazon.in/Eddie-Jaku/e/B08FBYXQGS/ref=zg_bs_4149493031_bl_sccl_12/000-0000000-0000000,4.8 out of 5 stars,"9,794",https://www.amazon.in/product-reviews/1529066360/ref=zg_bs_4149493031_cr_sccl_12/000-0000000-0000000
RICH DAD POOR DAD,https://www.amazon.in/RICH-DAD-POOR-ROBERT-KIYOSAKI/dp/B09THC4RDY/ref=zg_bs_4149493031_sccl_13/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71FUTYoYenL._AC_UL300_SR300,200_.jpg",93,ROBERT T. KIYOSAKI,,4.5 out of 5 stars,"13,561",https://www.amazon.in/product-reviews/B09THC4RDY/ref=zg_bs_4149493031_cr_sccl_13/000-0000000-0000000
Autobiography of a Yogi (Tamil),https://www.amazon.in/Autobiography-Yogi-Tamil-Paramahansa-Yogananda/dp/8190256270/ref=zg_bs_4149493031_sccl_14/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71prcElZ5RL._AC_UL300_SR300,200_.jpg",94,Paramahansa Yogananda,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_4149493031_bl_sccl_14/000-0000000-0000000,4.7 out of 5 stars,"1,403",https://www.amazon.in/product-reviews/8190256270/ref=zg_bs_4149493031_cr_sccl_14/000-0000000-0000000
The Prince,https://www.amazon.in/Prince-Niccol%C3%B2-Machiavelli/dp/8175993073/ref=zg_bs_4149493031_sccl_15/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71UAjGSxuaS._AC_UL300_SR300,200_.jpg",95,Niccolò Machiavelli,https://www.amazon.in/Niccol%C3%B2-Machiavelli/e/B00SY77IRY/ref=zg_bs_4149493031_bl_sccl_15/000-0000000-0000000,4.4 out of 5 stars,"4,324",https://www.amazon.in/product-reviews/8175993073/ref=zg_bs_4149493031_cr_sccl_15/000-0000000-0000000
The Art of War (Hardcover Library Edition),https://www.amazon.in/Art-War-Sun-Tzu/dp/9387669327/ref=zg_bs_4149493031_sccl_16/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/71fYV96EKnS._AC_UL300_SR300,200_.jpg",96,Sun Tzu,https://www.amazon.in/Sun-Tzu/e/B001IGOJRK/ref=zg_bs_4149493031_bl_sccl_16/000-0000000-0000000,4.3 out of 5 stars,"1,263",https://www.amazon.in/product-reviews/9387669327/ref=zg_bs_4149493031_cr_sccl_16/000-0000000-0000000
STEVE JOBS (PB): THE EXCLUSIVE BIOGRAPHY,https://www.amazon.in/Steve-Jobs-Walter-Isaacson/dp/034914043X/ref=zg_bs_4149493031_sccl_17/000-0000000-0000000?psc=1,History,"https://images-eu.ssl-images-amazon.com/images/I/41n1edvVlLL._AC_UL300_SR300,200_.jpg",97,Walter Isaacson,https://www.amazon.in/Walter-Isaacson/e/B000APFLB8/ref=zg_bs_4149493031_bl_sccl_17/000-0000000-0000000,4.7 out of 5 stars,"10,394",https://www.amazon.in/product-reviews/034914043X/ref=zg_bs_4149493031_cr_sccl_17/000-0000000-0000000
