name,link,edition,author,release,ratings,rating_counts,price,genres
Bee - TCS Pattern Prashnapatrika (Vargikaran va Vishleshan) - Ataparyant Zaleleya TCS chya Prashnapatrika,https://www.amazon.in/Bee-Prashnapatrika-Vargikaran-Vishleshan-Ataparyant/dp/B0BNVLNVNX,Marathi Edition ,Ajay Gund and Ajitkumar, 1 December 2022,4.0,2.0,680.0,Maharashtra Public Service Commission (MPSC)
"Price Action Trading : Share Market Books in Marathi Indian Stock Option Technical Analysis & Investing, Learning Guide Zone Bazar Book : द शेअर मार्केट, Sharemarket on Intraday with trends charts इंट्राडे ट्रेडिंग, मराठी पुस्तक, प्राइस एक्शन बुक, बाजार इन झोन Bazaar, Bajar",https://www.amazon.in/Price-Action-Trading-Technical-Sharemarket/dp/9352203712,Marathi Edition ,Indrazith Shantharaj and Poonam Chhatre, 1 January 2023,,,200.0,
"MTG NEET Biology Power Revision Book By Dr Vani Sud- NCERT Based Questions, Mock Test Papers With OMR Sheet & 6000+ Chapterwise Questions For NEET 2023 Exam",https://www.amazon.in/Biology-Revision-Questions-Papers-Chapterwise/dp/9355556500,,Dr Vani, 27 December 2022,,,695.0,
The Simplest Book For Technical Analysis | Hindi Edition | Stock Market | Mukul Agrawal,https://www.amazon.in/Simplest-Technical-Analysis-Market-Agrawal/dp/9394200533,Hindi Edition ,Mukul Agrawal, 18 November 2022,3.1,7.0,299.0,Money & Monetary Policy
Examcart KVS PRT Complete Study Guidebook in Hindi Medium For 2023 Exams (Prateek Shivalik),https://www.amazon.in/Examcart-Study-Guide-Exams-Hindi/dp/9357031324,Hindi Edition ,Examcart Experts, 27 December 2022,,,599.0,
Examcart KVS PRT Pedagogy English Medium Textbook - Perspective on Education & Leadership for 2023 Exam (Prateek Shivalik),https://www.amazon.in/Examcart-Perspective-Education-Leadership-English/dp/9357031332,,Examcart Experts  and Prateek Shivalik, 20 December 2022,5.0,20.0,249.0,
SMART STUDY's Talathi Bharti 186 Prashnapatrika Sanch : 2010-2021 - 17600+ Prashna - 2023/Edn.,https://www.amazon.in/SMART-STUDYs-Talathi-Bharti-Prashnapatrika/dp/B0BQDXXZRJ,Marathi Edition ,Vitthal Rautwar, 16 December 2022,5.0,1.0,580.0,
"Self Love: Woman's book for a happy life (happiness, mindfulness, wellness, self-confidence)",https://www.amazon.in/Self-Love-happiness-mindfulness-self-confidence-ebook/dp/B08BY2SBYS,,Vivia Masko, 26 June 2020,4.1,39.0,0.0,
Citizenville: How to Take the Town Square Digital and Reinvent Government (Marathi),https://www.amazon.in/Citizenville-Digital-Reinvent-Government-Marathi/dp/B0BPP2Y6FD,Marathi Edition ,"Gavin Newsom, Lisa Dickey, et al.", 9 December 2022,4.8,7.0,350.0,
"Raa Traders Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 2 Pen +2 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437,,,,4.0,197.0,299.0,
Examcart KVS PRT Textbook Maths & EVS Environmental Science for 2023 Exam (Prateek Shivalik | English Medium),https://www.amazon.in/Examcart-Environmental-Science-Mathematics-TextBook/dp/9357031391,,Examcart Experts  and Prateek Shivalik, 20 December 2022,5.0,19.0,139.0,
The Rudest Book Ever,https://www.amazon.in/Rudest-Book-Ever-Shwetabh-Gagwar-ebook/dp/B0BJ98D643,,Shwetabh Gagwar, 2 November 2022,4.4,7668.0,399.0,
Rajesh Meshe - Talathi Master Thokla: Trickscha Mahapur - 2023 Ed.,https://www.amazon.in/Rajesh-Meshe-Talathi-Trickscha-Mahapur/dp/B0BPYG6QR8,Marathi Edition ,Rajesh Meshe and Swati Rasal, 12 December 2022,3.8,4.0,595.0,
BlackBook of General Awareness January 2023 by Nikhil Gupta,https://www.amazon.in/BlackBook-General-Awareness-January-Nikhil/dp/8195645704,,Nikhil kr Gupta, 26 December 2022,5.0,3.0,520.0,Exam Preparation
FOREST GUARD BOOK YUVA UPNISHAD | YUVA UPNISHAD VANRAKSHAK BOOK | YUVA FOREST GUARD BEAT GUARD BOOK,https://www.amazon.in/FOREST-GUARD-BOOK-UPNISHAD-VANRAKSHAK/dp/B0BK3DD2V9,Gujarati Edition ,WWW.OJASBOOKS.COM, 1 January 2022,4.4,21.0,330.0,
SSC Maths 6800 TCS MCQ Chapter wise 3rd Edition English medium,https://www.amazon.in/Maths-6800-Chapter-English-medium/dp/B0B97HZJWM,,Pinnacle Publications, 14 August 2022,4.4,185.0,720.0,
Brilliant Brain Activity Book 7+,https://www.amazon.in/Brilliant-Brain-Activity-Book-7/dp/9389281059,,Dreamland Publications, 1 January 2020,4.4,1198.0,250.0,
"Hadbe 35,000+ Jumbo Mega Police Bharti - THE SMART BOOK - 2022/ 10th Ed. - 100+ Videos, 200+ Test Ranks and 100+ Sarav Test Including",https://www.amazon.in/Hadbe-Jumbo-Mega-Police-Bharti/dp/B09RH238TF,Marathi Edition ,"Siddheshwar Hadbe, Nitin Satre, et al.", 19 June 2022,4.2,86.0,690.0,
"The Intelligent Investor, Rev. Ed: The Definitive Book on Value Investing",https://www.amazon.in/Intelligent-Investor-Collins-Business-Essentials-ebook/dp/B000FC12C8,,"Benjamin Graham , Jason Zweig , et al.", 17 March 2009,4.5,40097.0,2194.0,Finance eTextbooks
Arithmetic Volume 1 Maths Book By Aditya Sir (Complete Class Notes),https://www.amazon.in/Arithmetic-Maths-Aditya-Complete-Class/dp/B0B2DT725Y,Hindi Edition ,Aditya Patel, 1 January 2022,4.5,609.0,700.0,
Balasaheb Shinde - Paripurna Marathi Vyakaran - 3750+ Vastunishtha Prashna - 2022 - 15th Ed.,https://www.amazon.in/Balasaheb-Shinde-Paripurna-Vyakaran-Vastunishtha/dp/B09QXG4TGS,Marathi Edition,,238  ,380.0,,,
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,https://www.amazon.in/Colour-Crayons-Part-Dreamland-Publications/dp/1730175066,,Dreamland Publications, 1 January 2021,4.2,7006.0,80.0,"Children's Crafts, Hobbies & Practical Interests"
Tales from Indian Mythology (Collection of 10 Books): Story Books For Kids,https://www.amazon.in/Tales-Indian-Mythology-Collection-Books/dp/9354400507,,Wonder House Books, 28 February 2022,4.4,108.0,699.0,
Jolly Kids Picture Talk and Conversation Book for Kids Age 2-6 Years,https://www.amazon.in/Picture-Talk-Conversation-NA/dp/8175352728,,Jolly Kids, 1 January 2016,4.5,1005.0,275.0,
Doglapan: The Hard Truth about Life and Start-Ups,https://www.amazon.in/Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X,,Ashneer Grover, 10 December 2022,4.3,378.0,499.0,Business Entrepreneurship Textbooks
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!: (25th Anniversary Edition),https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131,,Robert T. Kiyosaki, 6 August 2022,4.5,14965.0,599.0,
Sapiens: THE MULTI-MILLION COPY BESTSELLER,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari-ebook/dp/B00K7ED54M,,Yuval Noah Harari, 4 September 2014,4.7,52512.0,957.0,Anthropology
इकिगाई मराठी | Ikigai (Marathi Book) | दीर्घायुषी निरोगी आणि आनंदी जीवनाचे जपानी रहस्य | Japanese secret of Happy and long healthy life : In search of Purpose of life,https://www.amazon.in/Marathi-%E0%A4%A6%E0%A5%80%E0%A4%B0%E0%A5%8D%E0%A4%98%E0%A4%BE%E0%A4%AF%E0%A5%81%E0%A4%B7%E0%A5%80-%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8%E0%A4%BE%E0%A4%9A%E0%A5%87-Japanese-healthy/dp/9391282660,Marathi Edition ,Hector Garcia and Fransesc Miralles, 1 January 2019,,,195.0,
"Punekar Publications General Management | Samanya Prabandhan | सामान्य प्रबंधन | New syllabus Book in hindi for Mp patwari, Group-2 : Subgroup-4 & all Mppeb Exams 2022-23",https://www.amazon.in/Punekar-Publications-Management-Prabandhan-syllabus/dp/B0BPHPB3L2,Hindi Edition ,Punekar Expert, 29 November 2022,,,240.0,Police Exams
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho-ebook/dp/B00U6SFUSS,,Paulo Coelho, 24 February 2015,4.6,96675.0,1069.0,
Yashoda Vanrakshak Bharti Paripurna Margadarshak - TCS va IBPS Abhyaaskramavar Adharit - 2023/Ed.,https://www.amazon.in/Yashoda-Vanrakshak-Bharti-Paripurna-Margadarshak/dp/B0BPYDV3MQ,Marathi Edition ,Somnath Gunaware and Snehal Thorat - Turkunde, 12 December 2022,,,280.0,
The Power of Your Subconscious Mind,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666,,Joseph Murphy, 1 February 2015,4.5,64809.0,199.0,Earth Sciences Books
GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Multi Color Game Book (English) - Reprinted 2022,https://www.amazon.in/GIKSO-100-Maths-Puzzles-Book/dp/8193864999,,GIKSO, 1 January 2019,4.4,2820.0,245.0,
चालू घडामोडी इयर बुक 2023/ Chalu Ghadamodi year book 2023,https://www.amazon.in/%E0%A4%9A%E0%A4%BE%E0%A4%B2%E0%A5%82-%E0%A4%98%E0%A4%A1%E0%A4%BE%E0%A4%AE%E0%A5%8B%E0%A4%A1%E0%A5%80-2023-Chalu-Ghadamodi/dp/B0BQ79FRT2,Marathi Edition ,DEVA JADHAVAR, 14 December 2022,,,300.0,
TT-POWER (26 x 19 Big Size) (4 Books 4 Pen 4 Hand Grip 20 Refill) Big Size Magic Book Kids Magical Handwriting Reusable Book 3+ Age Preschoolers,https://www.amazon.in/TT-POWER-Magical-Handwriting-Reusable-Preschoolers/dp/B0BG8XVPFF,,TT-POWER, 25 September 2021,5.0,5.0,999.0,
Price Action Trading : Technical Analysis Simplified!,https://www.amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612,,Sunil Gurjar (Chartmojo), 1 January 2021,4.3,1410.0,350.0,Investments & Securities
Examcart KVS PRT Pedagogy Hindi Medium Textbook - Perspective on Education & Leadership for 2023 Exam (Prateek Shivalik),https://www.amazon.in/Shaikshik-Drastikon-Evam-Netratav-TBHM-2023/dp/9357031308,Hindi Edition ,Examcart Experts and Prateek Shivalik, 1 January 2022,,,269.0,
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319,,Wonder House Books, 25 April 2018,4.4,22872.0,140.0,
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167,,Maple Press, 1 January 2020,4.3,1936.0,300.0,Painting
"Human Psychology: 4 Books in 1. How to Analyze People + Manipulation Techniques + Dark Psychology + Enneagram: Powerful Guides to Learn Persuasion, Mind Control, Body Language and People's Behaviour",https://www.amazon.in/Human-Psychology-Manipulation-Techniques-Persuasion-ebook/dp/B085S7T78X,,Richard Campbell, 10 March 2020,4.1,54.0,4270.47,
Mandala Art: Colouring books for Adults with tear out sheets,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601,,Wonder House Books, 1 January 2018,4.6,4925.0,249.0,Art Encyclopedias
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X,Hindi Edition ,Brijbhoomi Books And Handicrafts, 1 January 2019,4.8,14564.0,460.0,Religion Encyclopedias
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811,,Maple Press, 1 August 2021,4.5,906.0,350.0,
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,https://www.amazon.in/My-First-ABC-Sticker-Book/dp/9388144937,,Wonder House Books, 25 November 2018,4.4,2252.0,225.0,Games & Quizzes
Brain Boosting Activity Book for Kids – 200+ Activities for Age 3+,https://www.amazon.in/Brain-Boosting-Activity-Book-Kids/dp/9391129668,,Maple Press, 1 August 2021,4.4,560.0,125.0,
CHART PATTRNS & CANDLESTICK PATTERNS POCKET SIZE - A6 BOOKS(COMBO) [Staple Bound] OXLANE FINANCE,https://www.amazon.in/CHART-PATTRNS-CANDLESTICK-PATTERNS-POCKET/dp/B0B56W854W,,OXLANE FINANCE, 31 December 2021,3.9,34.0,999.0,
1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,https://www.amazon.in/1800-Reward-Stickers-Teachers-Parents/dp/9388810740,,Wonder House Books, 6 August 2020,4.5,817.0,225.0,"Children's Games, Toys & Activities"
Target High 6th Premium Edition,https://www.amazon.in/Target-High-6th-Premium-MUTHUVENKATACHALAM/dp/9390619556,,MUTHUVENKATACHALAM S., 1 January 2021,4.5,2320.0,1895.0,Nursing
"My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite Words, Action Words, Parts of the body and Objects Around Us.",https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112,,Wonder House Books, 1 January 2018,4.5,7164.0,299.0,
"Diary of a Wimpy Kid Set of 13 Book -(1 To 13), International Best Seller ( Paperback )",https://www.amazon.in/Diary-Wimpy-International-Seller-Paperback/dp/B0BQGY74F5,,Jeff Kinney, 1 January 2019,,,2999.0,
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),https://www.amazon.in/Ruskin-Bond-Selling-Children-Collection/dp/8131964817,,Ruskin Bond, 1 January 2019,4.5,3846.0,699.0,
101 Tales The Great Panchatantra Collection - Collection Of Witty Moral Stories For Kids For Personality Development,https://www.amazon.in/101-Tales-Great-Panchatantra-Collection/dp/9390093953,,Wonder House Books, 12 October 2020,4.5,1175.0,599.0,
The Book Thief: TikTok made me buy it! The life-affirming international bestseller,https://www.amazon.in/Book-Thief-10th-Anniversary-ebook/dp/B01B2DJKHC,,Markus Zusak, 8 March 2016,4.6,12694.0,399.0,
Smart Study - Maharashtra Van Vibhag - Vanarakshak Bharti 42 Prashnapatrika Sanch - 5100+ Prashna - 2022-23/Ed.,https://www.amazon.in/Smart-Study-Maharashtra-Vanarakshak-Prashnapatrika/dp/B0BNQ8FZBS,Marathi Edition ,Vitthal Rautwar, 30 November 2022,2.0,1.0,360.0,
