maincategory,subcategory,category,link,alt_link,iteration,qid,ref
9,movies & tv shows,Entertainment Collectibles,https://www.amazon.in/gp/browse.html?node=14596996031&ref_=nav_em_sbc_mmvg_ent_collectibles_0_2_18_6,https://www.amazon.in/s?rh=n%3A14596996031&fs=true,8,1678610166,sr_pg_1
9,video games,Gaming Consoles,https://www.amazon.in/gp/browse.html?node=4092115031&ref_=nav_em_sbc_mmvg_consoles_0_2_18_8,https://www.amazon.in/s?rh=n%3A4092115031&fs=true,10,1678610169,sr_pg_1
9,video games,Latest Video Games,https://www.amazon.in/gp/browse.html?node=4069183031&ref_=nav_em_sbc_mmvg_latestvg_0_2_18_9,https://www.amazon.in/s?rh=n%3A4069183031&fs=true,0,,
9,video games,Gaming Accessories,https://www.amazon.in/gp/browse.html?node=4092116031&ref_=nav_em_sbc_mmvg_vgaccessories_0_2_18_10,https://www.amazon.in/s?rh=n%3A4092116031&fs=true,400,1678610172,sr_pg_1
9,video games,PC Games,https://www.amazon.in/gp/browse.html?node=1376518031&ref_=nav_em_sbc_mmvg_pcgames_0_2_18_11,https://www.amazon.in/s?rh=n%3A1376518031&fs=true,400,1678610174,sr_pg_1
9,video games,Video Games Deals,https://www.amazon.in/gp/browse.html?node=4238594031&ref_=nav_em_sbc_mmvg_vgdeals_0_2_18_12,https://www.amazon.in/s?rh=n%3A4238594031&fs=true,6,1678610177,sr_pg_1
9,video games,All Video Games,https://www.amazon.in/gp/browse.html?node=976460031&ref_=nav_em_sbc_mmvg_allvg_0_2_18_13,https://www.amazon.in/s?rh=n%3A976460031&fs=true,400,1678610179,sr_pg_1
9,music,All Music,https://www.amazon.in/gp/browse.html?node=976445031&ref_=nav_em_sbc_mmvg_music_all_0_2_18_15,https://www.amazon.in/s?rh=n%3A976445031&fs=true,400,1678610181,sr_pg_1
9,music,International Music,https://www.amazon.in/gp/browse.html?node=4092674031&ref_=nav_em_sbc_mmvg_music_intl_0_2_18_16,https://www.amazon.in/s?rh=n%3A4092674031&fs=true,400,1678610183,sr_pg_1
9,music,Film Songs,https://www.amazon.in/gp/browse.html?node=1375845031&ref_=nav_em_sbc_mmvg_music_films_0_2_18_17,https://www.amazon.in/s?rh=n%3A1375845031&fs=true,400,1678610186,sr_pg_1
9,music,Indian Classical,https://www.amazon.in/gp/browse.html?node=1375848031&ref_=nav_em_sbc_mmvg_music_classical_0_2_18_18,https://www.amazon.in/s?rh=n%3A1375848031&fs=true,56,1678610188,sr_pg_1
9,music,Musical Instruments & Professional Audio,https://www.amazon.in/gp/browse.html?node=3677697031&ref_=nav_em_sbc_mmvg_musical_inst_0_2_18_19,https://www.amazon.in/s?rh=n%3A3677697031&fs=true,400,1678610191,sr_pg_1
9,stream music,Open web player,https://music.amazon.in/home?ref_=nav_em_dmm_in_nav_pc_mu_webplayer_0_2_18_21,,0,,
9,stream music,Amazon Prime Music,http://www.amazon.in/music/prime?ref_=nav_em_dmm_in_nav_pc_mu_mlp_0_2_18_22,,0,,
