maincategory,subcategory,category,link,alt_link,iteration,qid,ref
3,home & kitchen,Furniture,https://www.amazon.in/gp/browse.html?node=1380441031&ref_=nav_em_sbc_hk_furniture_0_2_12_5,https://www.amazon.in/s?rh=n%3A1380441031&fs=true,400,1678609953,sr_pg_1
3,home & kitchen,Fine Art,https://www.amazon.in/gp/browse.html?node=13740856031&ref_=nav_em_sbc_fineart_in_0_2_12_6,https://www.amazon.in/s?rh=n%3A13740856031&fs=true,15,1678609955,sr_pg_1
3,home & kitchen,Home Furnishing,https://www.amazon.in/gp/browse.html?node=1380442031&ref_=nav_em_sbc_hk_furnishing_0_2_12_7,https://www.amazon.in/s?rh=n%3A1380442031&fs=true,400,1678609958,sr_pg_1
3,home & kitchen,Bedroom Linen,https://www.amazon.in/gp/browse.html?node=1380447031&ref_=nav_em_sbc_hk_bedroom_linen_0_2_12_8,https://www.amazon.in/s?rh=n%3A1380447031&fs=true,400,1678609960,sr_pg_1
3,home & kitchen,Home Décor,https://www.amazon.in/gp/browse.html?node=1380374031&ref_=nav_em_sbc_hk_decor_0_2_12_9,https://www.amazon.in/s?rh=n%3A1380374031&fs=true,400,1678609962,sr_pg_1
3,home & kitchen,Garden & Outdoors,https://www.amazon.in/gp/browse.html?node=2454175031&ref_=nav_em_sbc_hk_garden_outdoor_0_2_12_10,https://www.amazon.in/s?rh=n%3A2454175031&fs=true,400,1678609964,sr_pg_1
3,home & kitchen,Home Storage,https://www.amazon.in/gp/browse.html?node=1380510031&ref_=nav_em_sbc_hk_home_storage_0_2_12_11,https://www.amazon.in/s?rh=n%3A1380510031&fs=true,400,1678609966,sr_pg_1
3,home & kitchen,Indoor Lighting,https://www.amazon.in/gp/browse.html?node=1380485031&ref_=nav_em_sbc_hk_lighting_0_2_12_12,https://www.amazon.in/s?rh=n%3A1380485031&fs=true,400,1678609968,sr_pg_1
3,home & kitchen,Home Improvement,https://www.amazon.in/gp/browse.html?node=4286640031&ref_=nav_em_sbc_hk_homeimprovement_0_2_12_13,https://www.amazon.in/s?rh=n%3A4286640031&fs=true,400,1678609970,sr_pg_1
3,home & kitchen,Sewing & Craft Supplies,https://www.amazon.in/gp/browse.html?node=10743065031&ref_=nav_em_sbc_hk_craftsupplies_0_2_12_14,https://www.amazon.in/s?rh=n%3A10743065031&fs=true,400,1678609972,sr_pg_1
3,home & kitchen,All Home & Kitchen,https://www.amazon.in/gp/browse.html?node=976442031&ref_=nav_em_sbc_hk_all_0_2_12_15,https://www.amazon.in/s?rh=n%3A976442031&fs=true,400,1678609974,sr_pg_1
3,home & kitchen,Shop by Room,https://www.amazon.in/gp/browse.html?node=10892568031&ref_=nav_em_sbc_hk_shop_by_room_0_2_12_16,https://www.amazon.in/s?rh=n%3A10892568031&fs=true,0,,
3,home & kitchen,Home & Kitchen Deals,https://www.amazon.in/gp/browse.html?node=4916278031&ref_=nav_em_sbc_hk_deals_0_2_12_17,https://www.amazon.in/s?rh=n%3A4916278031&fs=true,0,,
3,pet supplies,All Pet Supplies,https://www.amazon.in/gp/browse.html?node=2454181031&ref_=nav_em_sbc_hk_pets_all_0_2_12_19,https://www.amazon.in/s?rh=n%3A2454181031&fs=true,400,1678609976,sr_pg_1
3,pet supplies,Dog supplies,https://www.amazon.in/gp/browse.html?node=4771342031&ref_=nav_em_sbc_hk_petdogs_0_2_12_20,https://www.amazon.in/s?rh=n%3A4771342031&fs=true,400,1678609978,sr_pg_1
3,"home, kitchen, pets",Refurbished & Open Box,https://www.amazon.in/gp/browse.html?node=15290771031&ref_=nav_em_sbc_hk_certified_refurbished_0_2_12_22,https://www.amazon.in/s?rh=n%3A15290771031&fs=true,14,1678609980,sr_pg_1
4,beauty & health,Beauty & Grooming,https://www.amazon.in/gp/browse.html?node=1355016031&ref_=nav_em_sbc_bhg_beauty_all_0_2_13_2,https://www.amazon.in/s?rh=n%3A1355016031&fs=true,400,1678609982,sr_pg_1
4,beauty & health,Luxury Beauty,https://www.amazon.in/gp/browse.html?node=5311359031&ref_=nav_em_sbc_bhg_lux_0_2_13_3,https://www.amazon.in/s?rh=n%3A5311359031&fs=true,147,1678609985,sr_pg_1
4,beauty & health,Make-up,https://www.amazon.in/gp/browse.html?node=1374357031&ref_=nav_em_sbc_bhg_makeup_0_2_13_4,https://www.amazon.in/s?rh=n%3A1374357031&fs=true,400,1678609988,sr_pg_1
