name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16"" Laptop/MacBook| Bag with ...",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91-6OhicAGL._AC_UL320_.jpg,https://www.amazon.in/Hammonds-Flycatcher-Leather-Brown-Briefcase/dp/B0718Z175J/ref=sr_1_20?qid=1679152724&s=apparel&sr=1-20,4.4,"2,594","₹4,181","₹9,999"
K London Laptop Messenger Bag(1803),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/818LvXOuG6L._AC_UL320_.jpg,https://www.amazon.in/London-Leatherite-Messenger-Compartment-1803_tan/dp/B073SZ9BNP/ref=sr_1_24?qid=1679152724&s=apparel&sr=1-24,4.3,"1,361",,"₹1,189"
ADISA Women's & Girls' Sling Bag,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/617+LuAAQsL._AC_UL320_.jpg,https://www.amazon.in/ADISA-SL5003-black-women-girls/dp/B074KRPMXJ/ref=sr_1_25?qid=1679152724&s=apparel&sr=1-25,4.0,"1,308",₹495,"₹1,499"
CARRY TRIP Men's Messenger Bags (Brown),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61c2E6J80vL._AC_UL320_.jpg,https://www.amazon.in/CARRY-TRIP-Messenger-bag-04/dp/B07CRX9QD2/ref=sr_1_26?qid=1679152724&s=apparel&sr=1-26,4.0,360,"₹1,299","₹3,999"
SHOPPOSTREET Bucket Barrel Shaped Cosmetic Makeup Bag Travel Case Pouch(Multi Color),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61je3FWWL2L._AC_UL320_.jpg,https://www.amazon.in/ShoppoStreet-Bucket-Barrel-Shaped-Cosmetic/dp/B07BGXN64X/ref=sr_1_27?qid=1679152724&s=apparel&sr=1-27,4.2,508,₹289,₹599
KLEIO Jacquard Stylish Sling bag for Women/Girls,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81LMNRb4p2L._AC_UL320_.jpg,https://www.amazon.in/Kleio-Jacquard-Stylish-Canvas-Ezl3003Kl-M1/dp/B079DTJF29/ref=sr_1_28?qid=1679152724&s=apparel&sr=1-28,4.1,"1,344",₹889,"₹1,399"
Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty ...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811V4PqPjzL._AC_UL320_.jpg,https://www.amazon.in/Trajectory-Professional-Black-Messenger-Laptop/dp/B07C238D1M/ref=sr_1_29?qid=1679152724&s=apparel&sr=1-29,3.9,"1,055","₹1,399","₹2,500"
Lapis O Lupo Women Fashion Cross-body Leatherette Adjustable Sling Bags,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61H6IZgl7kL._AC_UL320_.jpg,https://www.amazon.in/Lapis-Lupo-Womens-Sling-Llsl0026Bl/dp/B07C81Y5TN/ref=sr_1_30?qid=1679152724&s=apparel&sr=1-30,4.1,"1,289",₹374,"₹1,199"
ShopMantra Little Owl Vector Art Design Pattern Multicolored Faux Leather Printed Women's Wallet | Ladies Purse | Clutch |...,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81q18EgejYL._AC_UL320_.jpg,https://www.amazon.in/ShopMantra-LW00000152-Multicolor-Womens-Wallet/dp/B01BYIDZGC/ref=sr_1_31?qid=1679152724&s=apparel&sr=1-31,4.1,465,₹490,"₹1,999"
PARADOX (LABEL) Women's Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81UxzujYlzL._AC_UL320_.jpg,https://www.amazon.in/PARADOX-LABEL-Clutches-Evening-Handbags/dp/B079RC2VT9/ref=sr_1_32?qid=1679152724&s=apparel&sr=1-32,4.3,"1,712",₹849,"₹2,599"
